class	vtable_rva	method_count	method_rvas
.?AVDemolitionAbilityClass@@	0x8c64f8	32	0x6f6590,0x48d340,0x6f67c0,0x17d070,0x1fa90,0x6f67d0,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x6f6770,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x5b0eb0,0x5b0ea0,0x6f6830,0x6f6870,0x6f6620,0x6f6860
.?AVDemolitionAbilityClass@@	0x8c6600	4	0x1f92b0,0x1f92c0,0x6f6580,0x1f9d0
.?AVDetectHeroAbilityClass@@	0x8c6740	32	0x6f6b10,0x48d340,0x6f6d90,0x6f6bf0,0x6f6e30,0x13b7d0,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x13b7d0,0x13b7d0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x6f6da0,0x6f70a0,0x6f6b70,0x6f6dd0
.?AVDetectHeroAbilityClass@@	0x8c6848	4	0x1f92b0,0x1f92c0,0x6f6af8,0x1f9d0
.?AVEarthquakeAttackAbilityClass@@	0x8c6908	32	0x6f71d0,0x48d340,0x6f7500,0x6f74e0,0x6f77b0,0x6f7510,0x6f75e0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x6f6770,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x5b0eb0,0x5b0ea0,0x6f7630,0x6f7870,0x6f7240,0x6f7660
.?AVEarthquakeAttackAbilityClass@@	0x8c6a10	4	0x1f92b0,0x1f92c0,0x6f71c0,0x1f9d0
.?AVEatAttackAbilityClass@@	0x8c6ac0	32	0x6f7b10,0x48d340,0x6f7eb0,0x18ceb0,0x6f8260,0x6f7ec0,0x6f7fb0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x6f7e80,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x5b0ea0,0x6eeee0,0x6f80a0,0x6f8970,0x6f7c70,0x6f80d0
.?AVEatAttackAbilityClass@@	0x8c6bc8	4	0x1f92b0,0x1f92c0,0x6f7afc,0x1f9d0
.?AVEliminateHeroAbilityClass@@	0x8c6bf0	32	0x6f8bd0,0x48d340,0x6f8d00,0x17d070,0x1fa90,0x6f8d10,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x13b7d0,0x6f8e00,0x6f8c20,0x13b7d0
.?AVEliminateHeroAbilityClass@@	0x8c6cf8	4	0x1f92b0,0x1f92c0,0x6f8bbc,0x1f9d0
.?AVEnableAbilityAbilityClass@@	0x8c6d78	32	0x6f8ec0,0x48d340,0x6f9420,0x17d070,0x1fa90,0x6eff20,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x6f0190,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x6f9430,0x52c940,0x6f8f70,0x6f9460
.?AVEnableAbilityAbilityClass@@	0x8c6e80	4	0x1f92b0,0x1f92c0,0x6f8eac,0x1f9d0
.?AVEnableRadarAbilityClass@@	0x8c6eb0	32	0x6f94f0,0x48d340,0x6f97f0,0x17d070,0x1fa90,0x6eff20,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x6f0190,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x6eff30,0x13b7d0,0x35deb0,0x35deb0,0x6f9800,0x52c940,0x6f9540,0x6f9830
.?AVEnableRadarAbilityClass@@	0x8c6fb8	4	0x1f92b0,0x1f92c0,0x6f94e0,0x1f9d0
.?AVEnergyWeaponAttackAbilityClass@@	0x8c6fe8	32	0x6f9a10,0x48d340,0x6f9c90,0x18ceb0,0x6f9e60,0x6f9ca0,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x6f5410,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x5b0ea0,0x6eeee0,0x6f9d90,0x6f3ed0,0x6f9ad0,0x6f9dc0
.?AVEnergyWeaponAttackAbilityClass@@	0x8c70f0	4	0x1f92b0,0x1f92c0,0x6f9a04,0x1f9d0
.?AVEnhanceDefenseAbilityClass@@	0x8c7130	33	0x6fa8c0,0x48d340,0x6fad80,0x17d070,0x1fa90,0x13b7d0,0x13b7d0,0x48d320,0x13b7d0,0x17dc70,0x17d070,0x17d070,0x48d310,0x1fa90,0x6fad90,0x6f0190,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x6fadf0,0x6fb080,0x6fa920,0x6fae20,0x6fad50
.?AVEnhanceDefenseAbilityClass@@	0x8c7240	4	0x1f92b0,0x1f92c0,0x6fa8a8,0x1f9d0
.?AVFindWeaknessAbilityClass@@	0x8c72a8	32	0x6fb130,0x48d340,0x6fb1b0,0x6fb190,0x6fb360,0x13b7d0,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x6fb1c0,0x6fb740,0x13b7d0,0x6fb1f0
.?AVFindWeaknessAbilityClass@@	0x8c73b0	4	0x1f92b0,0x1f92c0,0x6fb124,0x1f9d0
.?AVForceHealingAbilityClass@@	0x8c7418	34	0x6fb850,0x48d340,0x6fb930,0x18ceb0,0x6fbb20,0x13b7d0,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x6fc270,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x6fbaf0,0x6fc980,0x13b7d0,0x13b7d0,0x6fbf80,0x6fbc20
.?AVForceHealingAbilityClass@@	0x8c7530	4	0x1f92b0,0x1f92c0,0x6fb844,0x1f9d0
.?AVForceLightningAbilityClass@@	0x8c7618	32	0x6fcbc0,0x48d340,0x6fd600,0x18ceb0,0x6fd880,0x6fd610,0x6fd6b0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x6fd3d0,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x5b0eb0,0x5b0ea0,0x6fd6f0,0x6fdf50,0x6fd010,0x13b7d0
.?AVForceLightningAbilityClass@@	0x8c7720	4	0x1f92b0,0x1f92c0,0x6fcbb4,0x1f9d0
.?AVForceTelekinesisAbilityClass@@	0x8c7830	32	0x6fe140,0x48d340,0x6fe3f0,0x6f74e0,0x6fe6c0,0x6fe400,0x6fe4f0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x6f6770,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x5b0eb0,0x5b0ea0,0x6fe540,0x6f7870,0x6fe1b0,0x6fe570
.?AVForceTelekinesisAbilityClass@@	0x8c7938	4	0x1f92b0,0x1f92c0,0x6fe130,0x1f9d0
.?AVForceWhirlwindAbilityClass@@	0x8c79d8	32	0x6fe810,0x48d340,0x6fef40,0x18ceb0,0x6fef80,0x592e30,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x6fed30,0x6fed20,0x6fef50,0x6ff020,0x6fe880,0x13b7d0
.?AVForceWhirlwindAbilityClass@@	0x8c7ae0	4	0x1f92b0,0x1f92c0,0x6fe7fc,0x1f9d0
.?AVGalacticStealthAbilityClass@@	0x8c7b80	32	0x6ff200,0x48d340,0x6ff2f0,0x17d070,0x1fa90,0x6f1360,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x13b7d0,0x13b7d0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x6ff300,0x6ff390,0x6ff260,0x6ff330
.?AVGalacticStealthAbilityClass@@	0x8c7c88	4	0x1f92b0,0x1f92c0,0x6ff1f4,0x1f9d0
.?AVGalaxyWideUpgradeAbilityClass@@	0x8c7d00	32	0x6ff4c0,0x48d340,0x6ff750,0x17d070,0x1fa90,0x6ff760,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x6ff850,0x48e3c0,0x1fa90,0x1fa90,0x6ff7d0,0x35deb0,0x35deb0,0x6ff7a0,0x6ffae0,0x6ff530,0x6ff8f0
.?AVGalaxyWideUpgradeAbilityClass@@	0x8c7e08	4	0x1f92b0,0x1f92c0,0x6ff4b4,0x1f9d0
.?AVGarrisonUpgradeAbilityClass@@	0x8c7f20	32	0x6ffb90,0x48d340,0x6ffda0,0x17d070,0x1fa90,0x6ffdb0,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x6ffe00,0x6fffa0,0x6ffc60,0x6ffe30
.?AVGarrisonUpgradeAbilityClass@@	0x8c8028	4	0x1f92b0,0x1f92c0,0x6ffb80,0x1f9d0
.?AVGenericAttackAbilityClass@@	0x8c80d0	32	0x700080,0x48d340,0x700330,0x18ceb0,0x7003d0,0x6eef00,0x700340,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x7002f0,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x5b0ea0,0x6eeee0,0x7003a0,0x6f8970,0x700100,0x13b7d0
.?AVGenericAttackAbilityClass@@	0x8c81d8	4	0x1f92b0,0x1f92c0,0x700070,0x1f9d0
.?AVGrenadeAttackAbilityClass@@	0x8c8258	32	0x700750,0x48d340,0x700c00,0x18ceb0,0x700d00,0x700c10,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x6fed30,0x6fed20,0x700cd0,0x701000,0x700860,0x13b7d0
.?AVGrenadeAttackAbilityClass@@	0x8c8360	4	0x1f92b0,0x1f92c0,0x700738,0x1f9d0
.?AVHackAbilityClass@@	0x8c8450	32	0x701240,0x48d340,0x701b50,0x18ceb0,0x701c10,0x6fd610,0x701b60,0x48d320,0x13b7d0,0x13b7d0,0x701ab0,0x701ad0,0x48d310,0x701860,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x5b0eb0,0x5b0ea0,0x701be0,0x702110,0x7013d0,0x13b7d0
.?AVHackAbilityClass@@	0x8c8558	4	0x1f92b0,0x1f92c0,0x701228,0x1f9d0
.?AVHeroAssassinAbilityClass@@	0x8c8598	32	0x702250,0x48d340,0x702750,0x17d070,0x1fa90,0x702760,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x702ef0,0x702f20,0x7022c0,0x13b7d0
.?AVHeroAssassinAbilityClass@@	0x8c86a0	4	0x1f92b0,0x1f92c0,0x702244,0x1f9d0
.?AVHeroProtectionAbilityClass@@	0x8c8b60	32	0x7030e0,0x48d340,0x703460,0x17d070,0x1fa90,0x703470,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x703550,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x703520,0x703770,0x703140,0x703600
.?AVHeroProtectionAbilityClass@@	0x8c8c68	4	0x1f92b0,0x1f92c0,0x7030d4,0x1f9d0
.?AVIncomeStreamAbilityClass@@	0x8c8ce0	32	0x703840,0x48d340,0x703aa0,0x17d070,0x1fa90,0x6eff20,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x703ae0,0x13b7d0,0x35deb0,0x35deb0,0x703ab0,0x703d00,0x703990,0x703be0
.?AVIncomeStreamAbilityClass@@	0x8c8de8	4	0x1f92b0,0x1f92c0,0x703828,0x1f9d0
.?AVIncomeStreamModAbilityClass@@	0x8c8fb0	32	0x703ee0,0x48d340,0x704610,0x7045e0,0x704870,0x6eff20,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x704620,0x704880,0x703f50,0x704650
.?AVIncomeStreamModAbilityClass@@	0x8c90b8	4	0x1f92b0,0x1f92c0,0x703ed4,0x1f9d0
.?AVIonCannonShotAttackAbilityClass@@	0x8c9120	32	0x704930,0x48d340,0x704a70,0x18ceb0,0x704f50,0x704a80,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x6f5410,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x704ec0,0x6f3ed0,0x704980,0x704ef0
.?AVIonCannonShotAttackAbilityClass@@	0x8c9228	4	0x1f92b0,0x1f92c0,0x70491c,0x1f9d0
.?AVPersonalFlameThrowerAbilityClass@@	0x8c9258	32	0x7054e0,0x48d340,0x705cc0,0x18ceb0,0x705e50,0x705cd0,0x705d70,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x6f5410,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x5b0eb0,0x5b0ea0,0x705dc0,0x702110,0x705bb0,0x705df0
.?AVPersonalFlameThrowerAbilityClass@@	0x8c9360	4	0x1f92b0,0x1f92c0,0x7054d0,0x1f9d0
.?AVLuckyShotAttackAbilityClass@@	0x8c9390	32	0x7062d0,0x48d340,0x706400,0x18ceb0,0x706850,0x706410,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x6f5410,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x7067c0,0x6f3ed0,0x706320,0x7067f0
.?AVLuckyShotAttackAbilityClass@@	0x8c9498	4	0x1f92b0,0x1f92c0,0x7062bc,0x1f9d0
