class	vtable_rva	method_count	method_rvas
.?AVAbilityCountdownBehaviorClass@@	0x86a7b0	3	0x42f2b0,0x4c30c0,0x17dc70
.?AV?$EventFactoryClass@VSetUnitAbilityModeEventClass@@$0CL@@@	0x86a868	2	0x42fe60,0x42fed0
.?AVSetUnitAbilityModeEventClass@@	0x86a880	10	0x1f92b0,0x1f92c0,0x429370,0x1f9d0,0x430270,0x4300f0,0x42ff50,0x17dc70,0x13b7d0,0x17dc70
.?AV?$EventFactoryClass@VRepairHardpointEventClass@@$0CN@@@	0x86a8d8	2	0x4306f0,0x430740
.?AVRepairHardpointEventClass@@	0x86a8f8	10	0x1f92b0,0x1f92c0,0x403ae0,0x1f9d0,0x4308b0,0x430830,0x430790,0x17dc70,0x13b7d0,0x17dc70
.?AVFleetBehaviorClass@@	0x86a958	26	0x4c2ee0,0x4c2f00,0x4c2f20,0x432c70,0x17dc70,0x18ceb0,0x4352f0,0x431800,0x432700,0x401da0,0x4c3000,0x1fa90,0x18cfa0,0x1fa90,0x1fa90,0x435770,0x431910,0x1fa90,0x1fa90,0x4c3090,0x433090,0x1fa90,0x13b7d0,0x4c30a0,0x4c30b0,0x17d070
.?AVFleetBehaviorClass@@	0x86aa30	4	0x3c1c44,0x3c1d6c,0x43091c,0x1f9d0
.?AVFleetBehaviorClass@@	0x86aa58	3	0x430928,0x4c30c0,0x17dc70
.?AV?$EventFactoryClass@VControlGroupEventClass@@$0BO@@@	0x86ac68	2	0x436000,0x436050
.?AVControlGroupEventClass@@	0x86ac88	10	0x1f92b0,0x1f92c0,0x3af2c0,0x1f9d0,0x4361f0,0x436160,0x4360a0,0x17dc70,0x13b7d0,0x17dc70
.?AV?$EventFactoryClass@VPlaceBeaconEventClass@@$0DA@@@	0x86ace8	2	0x436250,0x4362b0
.?AVPlaceBeaconEventClass@@	0x86ad00	10	0x1f92b0,0x1f92c0,0x3ad3f0,0x1f9d0,0x436540,0x436450,0x436310,0x17dc70,0x13b7d0,0x17dc70
.?AVAsteroidFieldDamageBehaviorClass@@	0x86ad60	26	0x4c2ee0,0x4c2f00,0x4c2f20,0x437140,0x17dc70,0x18ceb0,0x437310,0x1fa90,0x437130,0x401da0,0x4c3000,0x1fa90,0x18cfa0,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x4c3090,0x17dc70,0x1fa90,0x13b7d0,0x4c30a0,0x4c30b0,0x17d070
.?AVAsteroidFieldDamageBehaviorClass@@	0x86ae38	4	0x3c1c44,0x3c1d6c,0x4368a8,0x1f9d0
.?AVAsteroidFieldDamageBehaviorClass@@	0x86ae60	3	0x4368b4,0x4c30c0,0x17dc70
.?AVNebulaBehaviorClass@@	0x86aea8	26	0x4c2ee0,0x4c2f00,0x4c2f20,0x437990,0x17dc70,0x18ceb0,0x437b60,0x1fa90,0x437980,0x401da0,0x4c3000,0x1fa90,0x18cfa0,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x4c3090,0x17dc70,0x1fa90,0x13b7d0,0x4c30a0,0x4c30b0,0x17d070
.?AVNebulaBehaviorClass@@	0x86af80	4	0x3c1c44,0x3c1d6c,0x437628,0x1f9d0
.?AVNebulaBehaviorClass@@	0x86afa8	3	0x437634,0x4c30c0,0x17dc70
.?AV?$EventFactoryClass@VSelectAllEventClass@@$0CF@@@	0x86b000	2	0x437ee0,0x437f30
.?AVSelectAllEventClass@@	0x86b020	10	0x1f92b0,0x1f92c0,0x427140,0x1f9d0,0x437fa0,0x437f90,0x437f80,0x17dc70,0x13b7d0,0x17dc70
.?AVLandMovementCoordinatorClass@@	0x86b080	13	0x438b00,0x4f77e0,0x17dc70,0x438b40,0x4f7d30,0x4f8080,0x4f7770,0x13b7d0,0x43b470,0x1fa90,0x1fa90,0x4f80c0,0x43e5b0
.?AV?$EventFactoryClass@VGarrisonEventClass@@$0DE@@@	0x86b7b8	2	0x440a80,0x17d2a0
.?AVGarrisonEventClass@@	0x86b7d0	10	0x1f92b0,0x1f92c0,0x3af2c0,0x1f9d0,0x440b10,0x3af3a0,0x3af310,0x17dc70,0x13b7d0,0x17dc70
.?AVGarrisonUnitBehaviorClass@@	0x86b860	26	0x4c2ee0,0x4c2f00,0x4c2f20,0x443a80,0x17dc70,0x18ceb0,0x443ff0,0x443690,0x443a70,0x401da0,0x4c3000,0x1fa90,0x18cfa0,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x4c3090,0x17dc70,0x1fa90,0x13b7d0,0x4c30a0,0x4c30b0,0x17d070
.?AVGarrisonUnitBehaviorClass@@	0x86b938	4	0x3c1c44,0x3c1d6c,0x443254,0x1f9d0
.?AVGarrisonUnitBehaviorClass@@	0x86b960	3	0x443260,0x443d10,0x17dc70
.?AV?$DynamicVectorClass@W4ShipClassType@@@@	0x86bac8	1	0x446140
.?AV?$DynamicVectorClass@PEAUTutorialEventStruct@@@@	0x86bad8	1	0x446100
.?AV?$EventFactoryClass@VChatEventClass@@$0BA@@@	0x86bb00	2	0x44d170,0x7c040
.?AVChatEventClass@@	0x86bb18	9	0x1f92b0,0x1f92c0,0x44d210,0x1f9d0,0x44d340,0x44d2d0,0x44d260,0x13b7d0,0x17dc70
.?AV?$EventFactoryClass@VGameOptionsEventClass@@$0CH@@@	0x86bb70	2	0x44d4d0,0x44d520
.?AVGameOptionsEventClass@@	0x86bb88	10	0x1f92b0,0x1f92c0,0x3af2c0,0x1f9d0,0x44d670,0x44d600,0x44d560,0x17dc70,0x13b7d0,0x17dc70
.?AV?$DynamicVectorClass@V?$DynamicVectorClass@PEAVStoryEventClass@@@@@@	0x86d250	1	0x450ab0
.?AV?$DynamicVectorClass@PEAVStoryEventClass@@@@	0x86d260	1	0x4509b0
.?AVStoryEventClass@@	0x86d270	13	0x450c10,0x1fa90,0x1fa90,0x1fa90,0x45e480,0x1fa90,0x45e020,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventFogRevealClass@@	0x86d2e0	13	0x450ef0,0x1fa90,0x465b80,0x454d00,0x45e480,0x1fa90,0x45e020,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventRetreatClass@@	0x86d350	13	0x450b80,0x1fa90,0x466740,0x455590,0x45e480,0x1fa90,0x45e020,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventStartTacticalClass@@	0x86d3c0	13	0x4510a0,0x4674c0,0x466ad0,0x455710,0x45e480,0x45d4e0,0x45def0,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventStringClass@@	0x86d430	13	0x451150,0x4674c0,0x466ce0,0x455870,0x45e480,0x1fa90,0x45def0,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventEnterClass@@	0x86d4a0	13	0x450e90,0x4674c0,0x465380,0x454a90,0x45e480,0x45d4e0,0x45def0,0x1fa90,0x45ba80,0x463690,0x452650,0x452400,0x4529f0
.?AVStoryEventSingleObjectNameClass@@	0x86d510	13	0x450f90,0x4674c0,0x4667e0,0x4555f0,0x45e5c0,0x1fa90,0x45def0,0x1fa90,0x45c1b0,0x463a60,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventConstructLevelClass@@	0x86d580	13	0x450ca0,0x467330,0x464760,0x4543b0,0x45e480,0x45d1c0,0x45e230,0x1fa90,0x45b3b0,0x463310,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventDestroyBaseClass@@	0x86d5f0	13	0x450cf0,0x467330,0x464bf0,0x4545f0,0x45e480,0x45d1c0,0x45e360,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventDestroyClass@@	0x86d660	13	0x450d40,0x4673b0,0x464e70,0x454780,0x45e4b0,0x1fa90,0x45dcf0,0x1fa90,0x45b550,0x463480,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventBeginEraClass@@	0x86d6d0	13	0x450b80,0x1fa90,0x4641b0,0x454030,0x45e480,0x1fa90,0x45e020,0x1fa90,0x45a850,0x462f20,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventCorruptionLevelClass@@	0x86d740	13	0x450ca0,0x467330,0x464990,0x4544e0,0x45e480,0x1fa90,0x45e230,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventHeroMoveClass@@	0x86d7b0	13	0x450b30,0x4673b0,0x466030,0x454fc0,0x45e480,0x45d800,0x45dcf0,0x1fa90,0x45bc20,0x463800,0x452710,0x452510,0x452bb0
.?AVStoryEventAccumulateClass@@	0x86d820	13	0x450b80,0x1fa90,0x464150,0x453f80,0x45e480,0x1fa90,0x45e020,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventConquerCountClass@@	0x86d890	13	0x450b80,0x1fa90,0x4641b0,0x454390,0x45e480,0x1fa90,0x45e020,0x1fa90,0x45afc0,0x463260,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventElapsedClass@@	0x86d900	13	0x450e50,0x1fa90,0x465340,0x454980,0x45e550,0x1fa90,0x45e020,0x4511f0,0x45b670,0x463580,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventWinBattlesClass@@	0x86d970	13	0x4511a0,0x1fa90,0x466f40,0x455a50,0x45e660,0x1fa90,0x45e020,0x1fa90,0x45afc0,0x463260,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventAINotificationClass@@	0x86d9e0	13	0x450b30,0x1fa90,0x463ec0,0x453e20,0x45e480,0x45ceb0,0x45dcf0,0x1fa90,0x45a680,0x462da0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventCommandUnitClass@@	0x86da50	13	0x450c50,0x1fa90,0x4643f0,0x454190,0x45e480,0x1fa90,0x45e030,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventGuardUnitClass@@	0x86dac0	13	0x450b30,0x1fa90,0x465cf0,0x454e70,0x45e480,0x1fa90,0x45e030,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventProximityClass@@	0x86db30	13	0x450c50,0x1fa90,0x4643f0,0x455480,0x45e480,0x1fa90,0x45e030,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventDifficultyClass@@	0x86dba0	13	0x450b80,0x1fa90,0x4652f0,0x454940,0x45e480,0x1fa90,0x45e020,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventFlagClass@@	0x86dc10	13	0x450bc0,0x1fa90,0x4659a0,0x454c00,0x45e480,0x1fa90,0x45e020,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventLoadTacticalClass@@	0x86dc80	13	0x450c50,0x4673b0,0x466370,0x455130,0x45e480,0x45d800,0x45dcf0,0x1fa90,0x45ac40,0x462fd0,0x452880,0x13b7d0,0x13b7d0
.?AVStoryCheckDestroyedClass@@	0x86dcf0	13	0x450af0,0x1fa90,0x463c90,0x453ce0,0x45e480,0x1fa90,0x45e020,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventVictoryClass@@	0x86dd60	13	0x450b80,0x1fa90,0x466e60,0x455a20,0x45e480,0x1fa90,0x45e020,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventMovieDoneClass@@	0x86ddd0	13	0x450c10,0x1fa90,0x1fa90,0x455320,0x45e480,0x1fa90,0x45e020,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventObjectiveTimeoutClass@@	0x86de40	13	0x450ef0,0x1fa90,0x4666d0,0x455340,0x45e550,0x1fa90,0x45e020,0x451290,0x45bd80,0x463910,0x13b7d0,0x13b7d0,0x13b7d0
.?AVStoryEventCaptureClass@@	0x86deb0	13	0x450bc0,0x1fa90,0x4641e0,0x4540b0,0x45e480,0x1fa90,0x45def0,0x1fa90,0x45ac40,0x462fd0,0x13b7d0,0x13b7d0,0x13b7d0
.?AV?$EnumConversionClass@W4AIGoalCategoryType@@@@	0x872de0	6	0x1d9640,0x1dc300,0x1dc0c0,0x1dc1d0,0x1dc260,0x1dc0c0
.?AV?$DynamicEnumConversionClass@W4AIGoalCategoryType@@@@	0x872e18	6	0x1d9640,0x1dc300,0x1dc0c0,0x1dc1d0,0x1dc260,0x1dc0c0
.?AV?$EnumConversionClass@W4PerceptionTokenType@@@@	0x872e50	6	0x1d9640,0x1dc300,0x1dc0c0,0x1dc1d0,0x1dc260,0x1dc0c0
.?AV?$DynamicEnumConversionClass@W4PerceptionTokenType@@@@	0x872e88	6	0x1d9640,0x1dc300,0x1dc0c0,0x1dc1d0,0x1dc260,0x1dc0c0
.?AV?$EnumConversionClass@W4GameObjectCategoryType@@@@	0x872ec0	6	0x1d9640,0x46e9d0,0x46e570,0x46e870,0x46e900,0x46e570
.?AV?$DynamicBitfieldConversionClass@W4GameObjectCategoryType@@@@	0x872ef8	6	0x1d9640,0x46e9a0,0x46fe10,0x46e870,0x46e680,0x46e060
.?AV?$EnumConversionClass@W4MovementClassType@@@@	0x872f30	6	0x1d9640,0x1dc300,0x1dc0c0,0x1dc1d0,0x1dc260,0x1dc0c0
.?AV?$DynamicEnumConversionClass@W4MovementClassType@@@@	0x872f68	6	0x1d9640,0x1dc300,0x1dc0c0,0x1dc1d0,0x1dc260,0x1dc0c0
.?AV?$EnumConversionClass@W4ObjectWeatherCategoryType@@@@	0x872fa0	6	0x1d9640,0x1dc300,0x1dc0c0,0x1dc1d0,0x1dc260,0x1dc0c0
.?AV?$DynamicEnumConversionClass@W4ObjectWeatherCategoryType@@@@	0x872fd8	6	0x1d9640,0x1dc300,0x1dc0c0,0x1dc1d0,0x1dc260,0x1dc0c0
.?AV?$EnumConversionClass@W4SurfaceFXTriggerType@@@@	0x873010	6	0x1d9640,0x1dc300,0x1dc0c0,0x1dc1d0,0x1dc260,0x1dc0c0
.?AV?$DynamicEnumConversionClass@W4SurfaceFXTriggerType@@@@	0x873048	6	0x1d9640,0x1dc300,0x1dc0c0,0x1dc1d0,0x1dc260,0x1dc0c0
.?AV?$EnumConversionClass@W4GameObjectPropertiesType@@@@	0x873080	6	0x1d9640,0x46e9d0,0x46e570,0x46e870,0x46e900,0x46e570
.?AV?$DynamicBitfieldConversionClass@W4GameObjectPropertiesType@@@@	0x8730b8	6	0x1d9640,0x46e9a0,0x46fe10,0x46e870,0x46e680,0x46e060
.?AVTheAIDataManagerClass@@	0x8736d0	1	0x474830
.?AVAIDiagnosticsManagerClass@@	0x8736e8	1	0x4757a0
.?AVAIDiagnosticsNodeClass@@	0x8736f8	5	0x476690,0x4758c0,0x76af38,0x76af38,0x76af38
.?AVRootAIDiagnosticsNodeClass@@	0x873728	5	0x476690,0x4758c0,0x4763a0,0x475f30,0x4765b0
.?AVTheMovementClassManagerClass@@	0x873818	1	0x477980
.?AV?$DynamicVectorClass@UStoryDialogGoal@@@@	0x8739c0	1	0x47d670
.?AVTheDebugWindowManagerClass@@	0x873ac0	1	0x47fb60
.?AV?$EnumConversionClass@W4ClashTypeEnum@@@@	0x873c00	6	0x1d9640,0x1dc300,0x1dc0c0,0x1dc1d0,0x1dc260,0x1dc0c0
.?AV?$DatabaseObjectManagerClass@VTargetingPrioritySetClass@@@@	0x874070	4	0x483c00,0x483ee0,0x332b50,0x76af38
.?AVTargetingPrioritySetManagerClass@@	0x874098	4	0x483d80,0x483ee0,0x332b50,0x483e80
.?AV?$DatabaseObjectManagerClass@VDifficultyAdjustmentClass@@@@	0x874180	4	0x484ca0,0x332b20,0x332b50,0x76af38
.?AVDifficultyAdjustmentManagerClass@@	0x8741a8	4	0x484ce0,0x332b20,0x332b50,0x484dc0
.?AVTheGameScoringManagerClass@@	0x8742b8	3	0x485480,0x486970,0x17dc70
.?AV?$DynamicVectorClass@UPassRecordStruct@@@@	0x874be8	1	0x48a200
.?AValExtraRenderPass@@	0x874bf8	5	0x1f92b0,0x1f92c0,0x48a250,0x1f9d0,0x48a9b0
.?AValExtraRenderPass@@	0x874c28	1	0x48a240
.?AVOcclusionRenderPassClass@@	0x874c38	5	0x1f92b0,0x1f92c0,0x48a250,0x1f9d0,0x48a920
.?AVOcclusionRenderPassClass@@	0x874c68	1	0x48a240
.?AVIXMLLoadableClass@@	0x874e08	3	0x48ca60,0x76af38,0x76af38
.?AVSpecialAbilityClass@@	0x874e28	32	0x48ca90,0x48d340,0x76af38,0x17d070,0x1fa90,0x76af38,0x13b7d0,0x48d320,0x13b7d0,0x13b7d0,0x17d070,0x17d070,0x48d310,0x1fa90,0x1fa90,0x48f1e0,0x48cdd0,0x48e9e0,0x48e2d0,0x48e3e0,0x13b7d0,0x13b7d0,0x48e3c0,0x1fa90,0x1fa90,0x13b7d0,0x35deb0,0x35deb0,0x76af38,0x76af38,0x76af38,0x13b7d0
.?AVSpecialAbilityClass@@	0x874f30	4	0x1f92b0,0x1f92c0,0x48ca48,0x1f9d0
.?AV?$DynamicVectorClass@PEAVBlackMarketItemClass@@@@	0x875360	1	0x48f490
.?AV?$EventFactoryClass@VSaveGameEventClass@@$0CE@@@	0x875378	2	0x48fa20,0x17d2e0
.?AVSaveGameEventClass@@	0x875390	10	0x1f92b0,0x1f92c0,0x48fad0,0x1f9d0,0x48fc00,0x48fb90,0x48fb20,0x17dc70,0x13b7d0,0x17dc70
.?AV?$EventFactoryClass@VInvadeEventClass@@$08@@	0x8753e8	2	0x48fc80,0x6c540
.?AVInvadeEventClass@@	0x875408	10	0x1f92b0,0x1f92c0,0x3aee90,0x1f9d0,0x48ff50,0x48fe70,0x48fd30,0x17dc70,0x13b7d0,0x17dc70
.?AVIAutoResolveClass@@	0x8754c8	29	0x491340,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38,0x76af38
.?AVAutoResolveClass@@	0x8755b8	31	0x491300,0x60d040,0x60cf30,0x608080,0x60c9e0,0x60cf00,0x60b930,0x60b570,0x609270,0x60cdb0,0x562060,0x60c560,0x60c5b0,0x60c8b0,0x60c900,0x60c660,0x60dcc0,0x60dcf0,0x60dd20,0x18ced0,0x60c600,0x47840,0x60dd50,0x60dd70,0x60c6d0,0x60c6f0,0x60c6c0,0x60c6e0,0x60c650,0x491390,0x491370
.?AVSpecialWeaponDataPackClass@@	0x8756c0	2	0x4917f0,0x491530
.?AVSpecialWeaponBehaviorClass@@	0x8756e0	26	0x4c2ee0,0x4c2f00,0x4c2f20,0x491f50,0x17dc70,0x18ceb0,0x492010,0x491c70,0x491f20,0x401da0,0x3fb000,0x1fa90,0x18cfa0,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x4c3090,0x17dc70,0x1fa90,0x13b7d0,0x4c30a0,0x4c30b0,0x17d070
.?AVSpecialWeaponBehaviorClass@@	0x8757b8	4	0x3c1c44,0x3c1d6c,0x491ac0,0x1f9d0
.?AVSpecialWeaponBehaviorClass@@	0x8757e0	3	0x491acc,0x4c30c0,0x17dc70
.?AV?$DynamicVectorClass@W4BomberStateType@@@@	0x875820	1	0x492870
.?AV?$DynamicVectorClass@VPlayerBombingRunClass@@@@	0x875830	1	0x492830
.?AV?$EventFactoryClass@VDistributeMoneyEventClass@@$0CK@@@	0x875a10	2	0x498c50,0x498c90
.?AVDistributeMoneyEventClass@@	0x875a28	10	0x1f92b0,0x1f92c0,0x427140,0x1f9d0,0x498cd0,0x437f90,0x437f80,0x17dc70,0x13b7d0,0x17dc70
.?AV?$EventFactoryClass@VQuitGameEventClass@@$0P@@@	0x875a88	2	0x4993a0,0x4993e0
.?AVQuitGameEventClass@@	0x875aa0	10	0x1f92b0,0x1f92c0,0x427140,0x1f9d0,0x499420,0x437f90,0x437f80,0x17dc70,0x13b7d0,0x17dc70
.?AV?$DynamicVectorClass@VPositionKeyFrame@@@@	0x875b18	1	0x499a00
.?AV?$DynamicVectorClass@VValueKeyFrame@@@@	0x875b28	1	0x499a80
.?AV?$DynamicVectorClass@VShakeKeyFrame@@@@	0x875b38	1	0x499a40
.?AV?$EventFactoryClass@VDebugEventClass@@$0L@@@	0x875f70	2	0x4ad090,0x1eaa70
.?AVDebugEventClass@@	0x875f88	10	0x1f92b0,0x1f92c0,0x4ad130,0x1f9d0,0x4ad280,0x4ad230,0x4ad1d0,0x17dc70,0x13b7d0,0x17dc70
.?AU?$Multiply@M@@	0x875ff0	1	0x4ad990
.?AU?$LessThan@M@@	0x876000	1	0x4ad980
.?AV?$EventFactoryClass@VWithdrawlEventClass@@$0DB@@@	0x876018	2	0x4ade80,0x4adec0
.?AVWithdrawlEventClass@@	0x876030	10	0x1f92b0,0x1f92c0,0x427140,0x1f9d0,0x4adf40,0x4adf20,0x4adf00,0x17dc70,0x13b7d0,0x17dc70
.?AV?$EventFactoryClass@VResumeGameEventClass@@$0DD@@@	0x876088	2	0x4adf80,0x4adfc0
.?AVResumeGameEventClass@@	0x8760a0	10	0x1f92b0,0x1f92c0,0x3af2c0,0x1f9d0,0x4ae0d0,0x4ae070,0x4ae000,0x17dc70,0x13b7d0,0x17dc70
.?AV?$DynamicVectorClass@V?$FactionDataOverrideClass@I@CampaignDataClass@@@@	0x876100	1	0x4aeea0
.?AV?$DynamicVectorClass@PEBVTradeRouteClass@@@@	0x876110	1	0x4aee60
.?AV?$DynamicVectorClass@VStartingForceClass@CampaignDataClass@@@@	0x876120	1	0x4aef20
.?AV?$DynamicVectorClass@V?$FactionDataOverrideClass@VNameReferenceClass@@@CampaignDataClass@@@@	0x876130	1	0x4aeee0
.?AVAIPlayerClass@@	0x8761f8	2	0x4af870,0x4aff10
.?AVAIPlayerDiagnosticsNodeClass@@	0x876210	5	0x476690,0x4af980,0x4afbd0,0x4afa90,0x4b0420
.?AVGalacticModeClass@@	0x8762c0	89	0x4b1490,0x4b21f0,0x4b3350,0x3b5e10,0x35cc10,0x4b1fb0,0x3b5a40,0x1fa90,0x1fa90,0x4b2360,0x4b25f0,0x4b2c70,0x4b2d60,0x4b23c0,0x13b7d0,0x13b7d0,0x17dc70,0x17dc70,0x360970,0x1fa90,0x1fa90,0x4b2bc0,0x4b2ef0,0x4b2c00,0x4b32e0,0x1fa90,0x1fa90,0x1fa90,0x17d070,0x4b2060,0x13b7d0,0x17dc70,0x4b2070,0x3b81a0,0x3b8190,0x4b2050,0x35deb0,0x35deb0,0x35deb0,0x35deb0,0x47940,0x4b2330,0x4b2020,0x4b1600,0x361470,0x3613a0,0x17dc70,0x17dc70,0x17d070,0x17d070,0x17d070,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x17d070,0x364ef0,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x17d070,0x1fa90,0x35e390,0x1fa90,0x35e390,0x17d070,0x35e440,0x17d070,0x17d070,0x17d070,0x17d070,0x13b7d0,0x35eb40,0x365540,0x35cf20,0x1fa90,0x1fa90,0x364f30,0x1fa90,0x13b7d0,0x1fa90,0x13b7d0,0x1fa90,0x35d540,0x35e7f0,0x35f140,0x362580,0x365a80
.?AV?$EventFactoryClass@VSetAbilityAutofireEventClass@@$0DK@@@	0x8765e0	2	0x4b3510,0x4b3570
.?AVSetAbilityAutofireEventClass@@	0x876600	10	0x1f92b0,0x1f92c0,0x4b35c0,0x1f9d0,0x4b3860,0x4b3790,0x4b3610,0x17dc70,0x13b7d0,0x17dc70
.?AVEventQueueClass@@	0x876658	2	0x4b3b10,0x4b3a80
.?AV?$EventFactoryClass@VSpecialAbilityEventClass@@$0N@@@	0x876678	2	0x4b4170,0x1f8420
.?AVSpecialAbilityEventClass@@	0x876698	10	0x1f92b0,0x1f92c0,0x4b42a0,0x1f9d0,0x4b4d70,0x4b4990,0x4b4470,0x17dc70,0x13b7d0,0x17dc70
.?AV?$DynamicVectorClass@UPersistentTacticalBuiltObjectStruct@PlanetaryDataPackClass@@@@	0x876710	1	0x4b6b90
.?AV?$DynamicVectorClass@UPersistentUpgradeObjectStruct@PlanetaryDataPackClass@@@@	0x876720	1	0x4b6bd0
.?AV?$DynamicVectorClass@ULineLinkStruct@PlanetaryDataPackClass@@@@	0x876730	1	0x4b6b50
.?AV?$DynamicVectorClass@VTradeRouteLinkEntryClass@PlanetaryDataPackClass@@@@	0x876740	1	0x4b6c10
.?AV?$DynamicVectorClass@PEAV?$SimpleModifierListClass@W4tVisibilityLevelType@@@@@@	0x876750	1	0x4b6b10
.?AVPlanetaryDataPackClass@@	0x876760	2	0x4bbef0,0x4b8c70
.?AU?$BitwiseOr@_N@@	0x876778	1	0x4b6b00
.?AV?$EventFactoryClass@VFrameInfoEventClass@@$0A@@@	0x876b10	2	0x4c1ac0,0x17d070
.?AVFrameInfoEventClass@@	0x876b28	9	0x1f92b0,0x1f92c0,0x4c1b30,0x1f9d0,0x4c1c80,0x4c1c00,0x4c1b60,0x13b7d0,0x13b7d0
.?AV?$EventFactoryClass@VFrameSyncEventClass@@$0BB@@@	0x876b78	2	0x4c1ce0,0x4c1d20
.?AVFrameSyncEventClass@@	0x876b90	10	0x1f92b0,0x1f92c0,0x3af2c0,0x1f9d0,0x4c1e50,0x4c1de0,0x4c1d60,0x17dc70,0x13b7d0,0x17dc70
.?AV?$EventFactoryClass@VPerformanceMetricsEventClass@@$0BC@@@	0x876be8	2	0x4c1e70,0x17d080
.?AVPerformanceMetricsEventClass@@	0x876c00	9	0x1f92b0,0x1f92c0,0x4c1ee0,0x1f9d0,0x4c2010,0x4c1fa0,0x4c1f10,0x13b7d0,0x13b7d0
.?AVTacticalSuperWeaponTargetDummyBehaviorClass@@	0x876c58	26	0x4c2ee0,0x4c2f00,0x4c2f20,0x4c2190,0x13b7d0,0x17d070,0x4c2f70,0x1fa90,0x4c2210,0x4c2f90,0x4c3000,0x1fa90,0x18cfa0,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x4c3090,0x17dc70,0x1fa90,0x13b7d0,0x4c30a0,0x4c30b0,0x17d070
.?AVTacticalSuperWeaponTargetDummyBehaviorClass@@	0x876d30	4	0x3c1c44,0x3c1d6c,0x4c3070,0x1f9d0
.?AVTacticalSuperWeaponTargetDummyBehaviorClass@@	0x876d58	3	0x4c307c,0x4c30c0,0x17dc70
.?AVMarkerBehaviorClass@@	0x876da8	26	0x4c2ee0,0x4c2f00,0x4c2f20,0x4c2260,0x13b7d0,0x17d070,0x4c2f70,0x628d30,0x4c22e0,0x4c2f90,0x4c3000,0x1fa90,0x18cfa0,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x1fa90,0x4c3090,0x17dc70,0x1fa90,0x13b7d0,0x4c30a0,0x4c30b0,0x17d070
.?AVMarkerBehaviorClass@@	0x876e80	4	0x3c1c44,0x3c1d6c,0x4c3070,0x1f9d0
.?AVMarkerBehaviorClass@@	0x876ea8	3	0x4c307c,0x4c30c0,0x17dc70
